PROBEID,CHR,CHRLOC,SYMBOL
200752_s_at,chr11,64948686,CAPN1
200757_s_at,chr7,128379346,CALU
200761_s_at,chr3,69134090,ARL6IP5
200762_at,chr8,26435340,DPYSL2
200763_s_at,chr15,69745159,RPLP1
200764_s_at,chr5,138089107,CTNNA1
200766_at,chr11,-1773982,CTSD
200768_s_at,chr2,85766101,MAT2A
200771_at,chr1,182992595,LAMC1
200773_x_at,chr2,232573235,PTMA
200779_at,chr22,39916569,ATF4
200781_s_at,chr16,-18794277,RPS15A
200782_at,chr4,-122589152,ANXA5
200783_s_at,chr1,-26226607,STMN1
200785_s_at,chr12,57522282,LRP1
200786_at,chr9,-127115744,PSMB7
200788_s_at,chr1,160175125,PEA15
200789_at,chr19,-39306062,ECH1
200790_at,chr2,-10580508,ODC1
200792_at,chr22,42017295,XRCC6
200793_s_at,chr22,41865129,ACO2
200795_at,chr4,-88394488,SPARCL1
200797_s_at,chr1,-150547027,MCL1
200800_s_at,chr6,3076938,HSPA1A
200802_at,chr1,109756515,SARS
200804_at,chr12,50135293,TMBIM6
200805_at,chr5,-176758563,LMAN2
200807_s_at,chr2,-198351308,HSPD1
200808_s_at,chr7,143078360,ZYX
200809_x_at,chr9,-130209953,RPL12
200810_s_at,chr19,1269267,CIRBP
200812_at,chr2,73461364,CCT7
200814_at,chr14,24605378,PSME1
200816_s_at,chr17,2496923,PAFAH1B1
200817_x_at,chr6,-34385231,RPS10
200818_at,chr21,-35275757,ATP5O
200819_s_at,chr19,1438363,RPS15
200820_at,chr19,38865190,PSMD8
200821_at,chrX,-119560003,LAMP2
200823_x_at,chr3,-52027644,RPL29
200824_at,chr11,67351066,GSTP1
200825_s_at,chr11,-118914896,HYOU1
200826_at,chr19,-46190712,SNRPD2
200827_at,chr1,11994724,PLOD1
200828_s_at,chr17,30677157,ZNF207
200830_at,chr3,184017022,PSMD2
200832_s_at,chr10,102106772,SCD
200834_s_at,chr20,60962121,RPS21
200837_at,chrX,-152965947,BCAP31
200839_s_at,chr8,-11700034,CTSB
200840_at,chr16,-75661622,KARS
200843_s_at,chr1,-220141942,EPRS
200845_s_at,chr1,173446486,PRDX6
200846_s_at,chr11,-67165652,PPP1CA
200847_s_at,chr8,-29920631,SARAF
200850_s_at,chr1,110527387,AHCYL1
200852_x_at,chr7,100271363,GNB2
200853_at,chr4,-100869244,H2AFZ
200854_at,chr17,-15933408,NCOR1
200858_s_at,chr1,45241246,RPS8
200862_at,chr1,-55315300,DHCR24
200863_s_at,chr15,66161797,RAB11A
200866_s_at,chr10,-73576055,PSAP
200867_at,chr20,48552914,RNF114
200869_at,chr19,17970687,RPL18A
200870_at,chr12,16035288,STRAP
200872_at,chr1,-151955386,S100A10
200873_s_at,chr21,-30428648,CCT8
200875_s_at,chr20,2633178,NOP56
200876_s_at,chr6,-170844204,PSMB1
200877_at,chr2,-62095262,CCT4
200878_at,chr2,46524541,EPAS1
200880_at,chr9,33025209,DNAJA1
200882_s_at,chr1,151227197,PSMD4
200884_at,chr14,-103985995,CKB
200885_at,chr1,-113252616,PPM1J
200886_s_at,chr10,99186027,PGAM1
200887_s_at,chr2,-191840263,STAT1
200888_s_at,chr17,-37006321,RPL23
200891_s_at,chr6,-7281288,SSR1
200893_at,chr3,-185632358,TRA2B
200895_s_at,chr12,2904108,FKBP4
200896_x_at,chr1,-156711899,HDGF
200899_s_at,chr10,-103544200,MGEA5
200901_s_at,chr12,-9092957,M6PR
200902_at,chr1,-87328128,SEP15
200903_s_at,chr20,-32868071,AHCY
200904_at,chr6,1789473,HLA-E
200909_s_at,chr11,809936,RPLP2
200910_at,chr1,-156278752,CCT3
200911_s_at,chr8,38585704,TACC1
200912_s_at,chr3,186501361,EIF4A2
200913_at,chr2,-27604066,PPM1G
200918_s_at,chr11,-126132814,SRPR
200919_at,chr1,-33789224,PHC2
200921_s_at,chr12,-92534054,BTG1
200922_at,chr19,-48885827,KDELR1
200923_at,chr17,-76967335,LGALS3BP
200924_s_at,chr11,62649171,SLC3A2
200925_at,chr12,120875893,COX6A1
200926_at,chr5,-81569139,RPS23
200929_at,chr14,-75598171,TMED10
200931_s_at,chr10,75757872,VCL
200932_s_at,chr12,-57923833,DCTN2
200933_x_at,chrX,-71492453,RPS4X
200934_at,chr6,-18224400,DEK
200936_at,chr8,-146015154,RPL8
200937_s_at,chr1,93297594,RPL5
200940_s_at,chr1,-8412464,RERE
200942_s_at,chr16,83841508,HSBP1
200944_s_at,chr21,-40714241,HMGN1
200945_s_at,chr4,-83739814,SEC31A
200947_s_at,chr10,-88809959,GLUD1
200948_at,chr12,-6857158,MLF2
200950_at,chr7,98923496,ARPC1A
200953_s_at,chr12,4382902,CCND2
200955_at,chr2,-86371055,IMMT
200957_s_at,chr11,-57093459,SSRP1
200958_s_at,chr8,59465728,SDCBP
200959_at,chr16,31191431,FUS
200961_at,chr16,-30454952,SEPHS2
200962_at,chr2,101618691,RPL31
200964_at,chrX,47053201,UBA1
200965_s_at,chr10,-116190869,ABLIM1
200966_x_at,chr16,30064411,ALDOA
200968_s_at,chr15,-64448014,PPIB
200971_s_at,chr3,-150259780,SERP1
200972_at,chr15,-77336360,TSPAN3
200974_at,chr10,-90694831,ACTA2
200975_at,chr1,-40538382,PPT1
200976_s_at,chr7,27779714,TAX1BP1
200978_at,chr2,63816285,MDH1
200980_s_at,chrX,19362011,PDHA1
200982_s_at,chr5,-150480267,ANXA6
200984_s_at,chr11,-33724556,CD59
200986_at,chr11,57365027,SERPING1
200988_s_at,chr17,40985159,PSME3
200989_at,chr14,62162119,HIF1A
200990_at,chr19,59055836,TRIM28
200992_at,chr11,9406169,IPO7
200996_at,chr2,114647537,ACTR3
200997_at,chr11,66406088,RBM4
200998_s_at,chr12,-106631659,CKAP4
201000_at,chr16,-70286297,AARS
201002_s_at,chr20,-48697661,TMEM189-UBE2V1
201004_at,chrX,153059904,SSR4
201005_at,chr12,6309482,CD9
201007_at,chr2,26467616,HADHB
201010_s_at,chr1,145438462,TXNIP
201011_at,chr3,-128338813,RPN1
201012_at,chr9,75766781,ANXA1
201013_s_at,chr4,57302269,PAICS
201015_s_at,chr17,-39910859,JUP
201018_at,chrX,-20142636,EIF1AX
201020_at,chr22,32340479,YWHAH
201022_s_at,chr20,17550599,DSTN
201023_at,chr5,-140698057,TAF7
201029_s_at,chrX,2609228,CD99
201030_x_at,chr12,-21788275,LDHB
201031_s_at,chr5,-179041179,HNRNPH1
201032_at,chr20,-36145819,BLCAP
201034_at,chr10,111765726,ADD3
201037_at,chr10,3109712,PFKP
201039_s_at,chr19,13056628,RAD23A
201040_at,chr3,50273647,GNAI2
201041_s_at,chr5,-172195093,DUSP1
201042_at,chr20,-36756864,TGM2
201049_s_at,chr6,4521174,RPS18
201050_at,chr19,40854332,PLD3
201051_at,chr15,-69070875,ANP32A
201052_s_at,chr20,1099240,PSMF1
201055_s_at,chr5,-137087073,HNRNPA0
201057_s_at,chr3,-121382046,GOLGB1
201058_s_at,chr20,35169887,MYL9
201059_at,chr11,70244612,CTTN
201063_at,chr11,32112477,RCN1
201064_s_at,chr1,-40026485,PABPC4
201066_at,chr8,145149960,CYC1
201068_s_at,chr7,102987971,PSMC2
201069_at,chr16,55513081,MMP2
201075_s_at,chr3,-47627378,SMARCC1
201077_s_at,chr22,-42069937,NHP2L1
201078_at,chr13,100153728,TM9SF2
201079_at,chr17,76164671,SYNGR2
201080_at,chr17,-36921944,PIP4K2B
201082_s_at,chr2,-74588281,DCTN1
201087_at,chr12,-120648242,PXN
201088_at,chr17,66031848,KPNA2
201089_at,chr8,20054704,ATP6V1B2
201092_at,chrX,-16862775,RBBP7
201094_at,chr14,-50044042,RPS29
201095_at,chr5,-10679342,DAP
201097_s_at,chr3,-57557090,ARF4
201098_at,chr3,-139076433,COPB2
201099_at,chrX,40944888,USP9X
201102_s_at,chr21,45719925,PFKL
201105_at,chr22,38071613,LGALS1
201106_at,chr19,1103936,GPX4
201110_s_at,chr15,39873280,THBS1
201111_at,chr20,47662783,CSE1L
201113_at,chr16,-28853732,TUFM
201115_at,chr7,-44154279,POLD2
201117_s_at,chr4,166300097,CPE
201118_at,chr1,10459085,PGD
201119_s_at,chr11,63742079,COX8A
201121_s_at,chrX,118370211,PGRMC1
201124_at,chr3,-124481795,ITGB5
201126_s_at,chr5,-180217541,MGAT1
201128_s_at,chr17,-40023179,ACLY
201129_at,chr2,-38970741,SRSF7
201131_s_at,chr16,68771195,CDH1
201132_at,chrX,100663121,HNRNPH2
201135_at,chr10,-135175987,ECHS1
201136_at,chrX,49028184,PLP2
201137_s_at,chr6,4276154,HLA-DPB1
201138_s_at,chr2,170655322,SSB
201140_s_at,chr17,-40276994,RAB5C
201141_at,chr7,23286316,GPNMB
201142_at,chr14,67827034,EIF2S1
201145_at,chr1,154245039,HAX1
201146_at,chr2,-178095031,NFE2L2
201149_s_at,chr22,33196802,TIMP3
201153_s_at,chr3,151985829,MBNL1
201157_s_at,chr17,43138680,NMT1
201160_s_at,chr12,-10851676,YBX3
201163_s_at,chr4,-57897237,IGFBP7
201166_s_at,chr1,-31404353,PUM1
201170_s_at,chr3,5021097,BHLHE40
201174_s_at,chr16,75681635,TERF2IP
201176_s_at,chr11,118443102,ARCN1
201177_s_at,chr19,34919268,UBA2
201178_at,chr22,32870707,FBXO7
201180_s_at,chr1,110091186,GNAI3
201183_s_at,chr12,-6679248,CHD4
201185_at,chr10,124221041,HTRA1
201186_at,chr4,-3505324,LRPAP1
201189_s_at,chr6,33589156,ITPR3
201192_s_at,chr17,-1421283,PITPNA
201193_at,chr2,-209100953,IDH1
201194_at,chr19,48281842,SEPW1
201195_s_at,chr16,-87863629,SLC7A5
201197_at,chr6,111195988,AMD1
201198_s_at,chr2,231921578,PSMD1
201200_at,chr1,-167510251,CREG1
201201_at,chr21,-45193546,CSTB
201202_at,chr20,-5095599,PCNA
201205_at,chr20,-17594323,RRBP1
201207_at,chr17,26662548,TNFAIP1
201209_at,chr1,32757708,HDAC1
201210_at,chrX,41192651,DDX3X
201212_at,chr14,-93170152,LGMN
201215_at,chrX,114795177,PLS3
201216_at,chr12,112451152,ERP29
201221_s_at,chr19,49588465,SNRNP70
201222_s_at,chr9,110045517,RAD23B
201225_s_at,chr1,24969594,SRRM1
201227_s_at,chr10,-102283497,NDUFB8
201229_s_at,chr3,48956281,ARIH2
201231_s_at,chr1,-8921059,ENO1
201232_s_at,chr11,236808,PSMD13
201234_at,chr11,6624964,ILK
201236_s_at,chr1,203274664,BTG2
201237_at,chr7,116502563,CAPZA2
201241_at,chr2,15731745,DDX1
201242_s_at,chr1,169075947,ATP1B1
201244_s_at,chr3,-12625100,RAF1
201247_at,chr22,42229106,SREBF2
201250_s_at,chr1,-43391046,SLC2A1
201251_at,chr15,-72491370,PKM
201252_at,chr19,40476912,PSMC4
201253_s_at,chr16,-29869678,CDIPT
201256_at,chr2,-42577645,COX7A2L
201257_x_at,chr4,152020725,RPS3A
201258_at,chr19,-39923847,RPS16
201260_s_at,chr7,-105730814,SYPL1
201262_s_at,chrX,152760347,BGN
201263_at,chr5,33440882,TARS
201264_at,chr19,-19010323,COPE
201266_at,chr12,104680460,TXNRD1
201267_s_at,chr11,-47440320,PSMC3
201268_at,chr17,49244083,NME2
201271_s_at,chr20,32581458,RALY
201272_at,chr7,-134127107,AKR1B1
201273_s_at,chr1,225965515,SRP9
201274_at,chr1,-109941653,PSMA5
201275_at,chr1,155278539,FDPS
201276_at,chr12,56367795,RAB5B
201277_s_at,chr5,177631508,HNRNPAB
201278_at,chr5,-39371776,DAB2
201281_at,chr20,60878027,ADRM1
201282_at,chr7,44646121,OGDH
201284_s_at,chr3,49711435,APEH
201285_at,chr7,-140152840,MKRN1
201286_at,chr2,-20400558,SDC1
201288_at,chr12,-15094950,ARHGDIB
201289_at,chr1,86046444,CYR61
201290_at,chr15,-85212775,SEC11A
201292_at,chr17,-38544773,TOP2A
201293_x_at,chr7,44836241,PPIA
201300_s_at,chr20,4666797,PRNP
201302_at,chr2,69969127,ANXA4
201304_at,chr7,-123181083,NDUFA5
201312_s_at,chrX,80457303,SH3BGRL
201313_at,chr12,7023614,ENO2
201314_at,chr2,-242434432,STK25
201315_x_at,chr11,308107,IFITM2
201317_s_at,chr7,-42956462,PSMA2
201318_s_at,chr18,3247528,MYL12A
201321_s_at,chr12,-56555636,SMARCC2
201322_at,chr12,-57031959,ATP5B
201323_at,chr1,-43629845,EBNA1BP2
201324_at,chr12,13349602,EMP1
201327_s_at,chr7,56119378,CCT6A
201329_s_at,chr21,40177755,ETS2
201330_at,chr5,167913463,RARS
201331_s_at,chr12,-57489187,STAT6
201336_at,chr1,7831329,VAMP3
201339_s_at,chr1,53392901,SCP2
201341_at,chr5,-73923231,ENC1
201342_at,chr6,34724871,SNRPC
201343_at,chr5,138940751,UBE2D2
201348_at,chr5,150399999,GPX3
201349_at,chr17,72744751,SLC9A3R1
201350_at,chr17,-27206357,FLOT2
201351_s_at,chr10,-27399040,YME1L1
201353_s_at,chr12,-56989380,BAZ2A
201356_at,chr22,-30727977,SF3A1
201358_s_at,chr11,-14479049,COPB1
201360_at,chr20,-23614294,CST3
201362_at,chr1,-185265522,IVNS1ABP
201364_s_at,chr15,-64979773,OAZ2
201368_at,chr2,-43449541,ZFP36L2
201371_s_at,chr2,-225334867,CUL3
201373_at,chr8,-144989321,PLEC
201375_s_at,chr8,-30643126,PPP2CB
201376_s_at,chr10,-43881065,HNRNPF
201379_s_at,chr20,62496581,TPD52L2
201380_at,chr3,33155450,CRTAP
201384_s_at,chr17,41323246,NBR1
201386_s_at,chr4,-24529088,DHX15
201387_s_at,chr4,41258898,UCHL1
201388_at,chr17,38137021,PSMD3
201389_at,chr12,-54789045,ITGA5
201390_s_at,chr6,31633657,CSNK2B
201391_at,chr16,-3708038,TRAP1
201393_s_at,chr6,160390131,IGF2R
201394_s_at,chr3,50126341,RBM5
201396_s_at,chr19,-2754712,SGTA
201397_at,chr1,120254419,PHGDH
201398_s_at,chr8,-71485453,TRAM1
201400_at,chr17,36909002,PSMB3
201403_s_at,chr1,165600110,MGST3
201405_s_at,chr7,99686583,COPS6
201406_at,chrX,100645878,RPL36A
201407_s_at,chr2,28974626,PPP1CB
201413_at,chr5,118788138,HSD17B4
201414_s_at,chr11,-2965660,NAP1L4
201415_at,chr20,-33516236,GSS
201417_at,chr6,21593972,SOX4
201419_at,chr3,-52435025,BAP1
201422_at,chr19,18284579,IFI30
201424_s_at,chr13,113863086,CUL4A
201425_at,chr12,112204691,ALDH2
201426_s_at,chr10,17270258,VIM
201427_s_at,chr5,-42799982,SEPP1
201428_at,chr7,73245193,CLDN4
201429_s_at,chr2,217363520,RPL37A
201431_s_at,chr5,-146770371,DPYSL3
201432_at,chr11,34460472,CAT
201433_s_at,chr8,97274167,PTDSS1
201434_at,chr5,159436180,TTC1
201436_at,chr4,-99799607,EIF4E
201438_at,chr2,-238280260,COL6A3
201439_at,chr10,104005255,GBF1
201441_at,chr19,36139125,COX6B1
201443_s_at,chrX,40440216,ATP6AP2
201445_at,chr1,-95362507,CNN3
201448_at,chr2,-70436576,TIA1
201455_s_at,chr17,45608444,NPEPPS
201458_s_at,chr10,124913760,BUB3
201459_at,chr19,49497156,RUVBL2
201460_at,chr1,206858365,MAPKAPK2
201463_s_at,chr11,747432,TALDO1
201468_s_at,chr16,-69743304,NQO1
201470_at,chr10,106014468,GSTO1
201471_s_at,chr5,179247842,SQSTM1
201472_at,chrX,154444701,VBP1
201473_at,chr19,12902310,JUNB
201474_s_at,chr17,48133340,ITGA3
201477_s_at,chr11,4115924,RRM1
201479_at,chrX,153991031,DKC1
201480_s_at,chr19,39936186,SUPT5H
201481_s_at,chr20,25228706,PYGB
201482_at,chr1,180123968,QSOX1
201484_at,chr17,-56422539,SUPT4H1
201486_at,chr15,77223962,RCN2
201487_at,chr11,-88053981,CTSC
201489_at,chr10,81107220,PPIF
201491_at,chr14,77924373,AHSA1
201492_s_at,chr12,56510374,RPL41
201494_at,chr11,-82535409,PRCP
201496_x_at,chr16,-15796992,MYH11
201498_at,chr16,-8985951,USP7
201500_s_at,chr6,1275163,PPP1R11
201502_s_at,chr14,-35870716,NFKBIA
201503_at,chr5,151151476,G3BP1
201505_at,chr7,-107564246,LAMB1
201506_at,chr5,135364584,TGFBI
201507_at,chr5,-139624635,PFDN1
201508_at,chr17,38599676,IGFBP4
201511_at,chr2,-219128852,AAMP
201513_at,chr2,122513121,TSN
201516_at,chr1,-11114649,SRM
201517_at,chr3,-196662273,NCBP2
201518_at,chr17,-46147414,CBX1
201520_s_at,chr4,-71681499,GRSF1
201522_x_at,chr15,25068794,SNRPN
201525_at,chr3,-195295573,APOD
201526_at,chr7,127228406,ARF5
201527_at,chr7,128502857,ATP6V1F
201528_at,chr17,1733273,RPA1
201530_x_at,chr17,7476024,EIF4A1
201531_at,chr19,39897487,ZFP36
201532_at,chr14,58711523,PSMA3
201533_at,chr3,41240942,CTNNB1
201534_s_at,chr13,-30338545,UBL3
201536_at,chr17,-41843489,DUSP3
201540_at,chrX,135228861,FHL1
201541_s_at,chr7,100860985,ZNHIT1
201546_at,chr2,-230631930,TRIP12
201548_s_at,chr1,-202696532,KDM5B
201553_s_at,chr13,113951469,LAMP1
201555_at,chr6,-52128812,MCM3
201556_s_at,chr17,-8062465,VAMP2
201558_at,chr20,55926618,RAE1
201560_at,chr1,25071760,CLIC4
201563_at,chr15,45315302,SORD
201564_s_at,chr7,5632436,FSCN1
201565_s_at,chr2,8822113,ID2
201567_s_at,chr3,37284682,GOLGA4
201568_at,chr5,132202319,UQCRQ
201574_at,chr5,-137841782,ETF1
201575_at,chr14,-78183944,SNW1
201576_s_at,chr3,-33038100,GLB1
201577_at,chr17,49230920,NME1
201578_at,chr7,-131185021,PODXL
201579_at,chr4,-187508937,FAT1
201584_s_at,chr19,-14519610,DDX39A
201586_s_at,chr1,-35649201,SFPQ
201587_s_at,chrX,-153275957,IRAK1
201588_at,chr18,-54270053,TXNL1
201589_at,chrX,-53401070,SMC1A
201590_x_at,chr15,-60639350,ANXA2
201591_s_at,chr3,52489524,NISCH
201592_at,chr8,-117657055,EIF3H
201594_s_at,chr18,-9546789,PPP4R1
201596_x_at,chr12,53342843,KRT18
201597_at,chr6,-75947391,COX7A2
201598_s_at,chr11,71935882,INPPL1
201599_at,chr10,-126085872,OAT
201600_at,chr12,-7074515,PHB2
201603_at,chr12,-80167343,PPP1R12A
201605_x_at,chr19,1026298,CNN2
201606_s_at,chr12,108079590,PWP1
201611_s_at,chr1,-6281253,ICMT
201612_at,chr1,-165631449,ALDH9A1
201614_s_at,chr3,-127799800,RUVBL1
201616_s_at,chr7,134576151,CALD1
201619_at,chr10,-120927215,PRDX3
201620_at,chr16,-84087369,MBTPS1
201622_at,chr7,127292202,SND1
201624_at,chr2,-136664254,DARS
201625_s_at,chr7,155089486,INSIG1
201628_s_at,chr9,19049372,RRAGA
201630_s_at,chr2,264869,ACP1
201631_s_at,chr6,-2003905,IER3
201632_at,chr12,-124105570,EIF2B1
201634_s_at,chr16,69458498,CYB5B
201636_at,chr3,180630234,FXR1
201641_at,chr19,-17513755,BST2
201642_at,chr21,34775202,IFNGR2
201645_at,chr9,-117781854,TNC
201647_s_at,chr4,-77079892,SCARB2
201648_at,chr1,-65298906,JAK1
201649_at,chr11,-57319128,UBE2L6
